strain	gene	temperature	time	value
spt6-AID2 DMSO	HSP12	30	0	0.0153379791
spt6-AID2 DMSO	HSP12	37	20	3.5607142857
spt6-AID2 DMSO	HSP12	37	80	0.3067041199
spt6-AID2 IAA	HSP12	30	0	0.0149450549
spt6-AID2 IAA	HSP12	30	20	0.0203757962
spt6-AID2 IAA	HSP12	30	80	NA
spt6-AID2 IAA	HSP12	37	20	1.503649635
spt6-AID2 IAA	HSP12	37	80	1.541547883
spt6-AID2 DMSO	HSP12	30	0	0.0177651515
spt6-AID2 DMSO	HSP12	37	20	2.2530864198
spt6-AID2 DMSO	HSP12	37	80	0.2360891089
spt6-AID2 IAA	HSP12	30	0	0.0157295374
spt6-AID2 IAA	HSP12	30	20	0.0383507853
spt6-AID2 IAA	HSP12	30	80	0.0169558011
spt6-AID2 IAA	HSP12	37	20	2.6679389313
spt6-AID2 IAA	HSP12	37	80	1.610619469
spt6-AID2 DMSO	HSP12	30	0	0.0106682927
spt6-AID2 DMSO	HSP12	37	20	2.7452830189
spt6-AID2 DMSO	HSP12	37	80	0.1126600985
spt6-AID2 IAA	HSP12	30	0	0.0001608434
spt6-AID2 IAA	HSP12	30	20	0.0291352313
spt6-AID2 IAA	HSP12	30	80	0.0166184211
spt6-AID2 IAA	HSP12	37	20	2.1300813008
spt6-AID2 IAA	HSP12	37	80	0.8034044594
spt6-AID2 DMSO	SSA4	30	0	0.0072473868
spt6-AID2 DMSO	SSA4	37	20	0.4107142857
spt6-AID2 DMSO	SSA4	37	80	0.0359550562
spt6-AID2 IAA	SSA4	30	0	0.0186373626
spt6-AID2 IAA	SSA4	30	20	0.0055127389
spt6-AID2 IAA	SSA4	30	80	NA
spt6-AID2 IAA	SSA4	37	20	0.9854014599
spt6-AID2 IAA	SSA4	37	80	0.9544926618
spt6-AID2 DMSO	SSA4	30	0	0.0090227273
spt6-AID2 DMSO	SSA4	37	20	0.434382716
spt6-AID2 DMSO	SSA4	37	80	0.0440346535
spt6-AID2 IAA	SSA4	30	0	0.0184626335
spt6-AID2 IAA	SSA4	30	20	0.006591623
spt6-AID2 IAA	SSA4	30	80	0.0378729282
spt6-AID2 IAA	SSA4	37	20	0.7748091603
spt6-AID2 IAA	SSA4	37	80	0.6105840708
spt6-AID2 DMSO	SSA4	30	0	0.0074585366
spt6-AID2 DMSO	SSA4	37	20	0.709509434
spt6-AID2 DMSO	SSA4	37	80	0.0385763547
spt6-AID2 IAA	SSA4	30	0	NA
spt6-AID2 IAA	SSA4	30	20	0.060569395
spt6-AID2 IAA	SSA4	30	80	0.0513157895
spt6-AID2 IAA	SSA4	37	20	0.9837398374
spt6-AID2 IAA	SSA4	37	80	0.5691680652
