strain	temperature	antigen	background	replicate	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
WT	30	Spt6	FALSE	1	2018-08-16T18:41:39Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	11	241	65.701389	53	18922	Histogram-1.csv
spt6-1004	30	Spt6	FALSE	1	2018-08-16T18:41:48Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	8	225	62.329861	39	17951	Histogram-2.csv
WT	37	Spt6	FALSE	1	2018-08-16T18:41:54Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	9	255	68.208333	32	19644	Histogram-3.csv
spt6-1004	37	Spt6	FALSE	1	2018-08-16T18:42:02Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	12	66	24.711806	21	7117	Histogram-4.csv
WT	30	Spt6	FALSE	2	2018-08-16T18:42:12Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	17	255	90.864583	65	26169	Histogram-5.csv
spt6-1004	30	Spt6	FALSE	2	2018-08-16T18:42:17Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	12	255	72.46875	46	20871	Histogram-6.csv
WT	37	Spt6	FALSE	2	2018-08-16T18:42:25Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	13	255	76.381944	34	21998	Histogram-7.csv
spt6-1004	37	Spt6	FALSE	2	2018-08-16T18:42:30Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	13	99	30.798611	23	8870	Histogram-8.csv
WT	30	Spt6	FALSE	3	2018-08-16T18:42:38Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	15	255	86.670139	47	24961	Histogram-9.csv
spt6-1004	30	Spt6	FALSE	3	2018-08-16T18:42:44Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	9	255	65.791667	35	18948	Histogram-10.csv
WT	37	Spt6	FALSE	3	2018-08-16T18:42:50Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	7	255	66.440972	30	19135	Histogram-11.csv
spt6-1004	37	Spt6	FALSE	3	2018-08-16T18:42:57Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	8	157	26.59375	18	7659	Histogram-12.csv
WT	30	Spt6	TRUE	1	2018-08-16T18:43:04Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	5	19	13.038194	13	3755	Histogram-13.csv
spt6-1004	30	Spt6	TRUE	1	2018-08-16T18:43:09Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	7	24	14.520833	14	4182	Histogram-14.csv
WT	37	Spt6	TRUE	1	2018-08-16T18:43:16Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	9	26	15.708333	16	4524	Histogram-15.csv
spt6-1004	37	Spt6	TRUE	1	2018-08-16T18:43:20Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	10	25	16.934028	17	4877	Histogram-16.csv
WT	30	Spt6	TRUE	2	2018-08-16T18:43:24Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	14	27	19.829861	19	5711	Histogram-17.csv
spt6-1004	30	Spt6	TRUE	2	2018-08-16T18:43:31Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	8	25	17.135417	17	4935	Histogram-18.csv
WT	37	Spt6	TRUE	2	2018-08-16T18:43:40Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	9	26	17.708333	18	5100	Histogram-19.csv
spt6-1004	37	Spt6	TRUE	2	2018-08-16T18:43:45Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	8	30	17.288194	17	4979	Histogram-20.csv
WT	30	Spt6	TRUE	3	2018-08-16T18:43:50Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	8	40	20.746528	21	5975	Histogram-21.csv
spt6-1004	30	Spt6	TRUE	3	2018-08-16T18:43:54Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	2	104	19	18	5472	Histogram-22.csv
WT	37	Spt6	TRUE	3	2018-08-16T18:44:15Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	0	30	13.170139	13	3793	Histogram-23.csv
spt6-1004	37	Spt6	TRUE	3	2018-08-16T18:44:20Z	FLAG.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	288	72	0.698132	12	24	0	21	11.920139	12	3433	Histogram-24.csv
WT	30	spikein	FALSE	1	2018-08-16T18:54:56Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	13	88	42.362069	36	17199	Histogram-25.csv
spt6-1004	30	spikein	FALSE	1	2018-08-16T18:55:14Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	13	104	47.344828	39	19222	Histogram-26.csv
WT	37	spikein	FALSE	1	2018-08-16T18:55:20Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	14	95	42.391626	35	17211	Histogram-27.csv
spt6-1004	37	spikein	FALSE	1	2018-08-16T18:55:25Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	14	94	43.731527	37	17755	Histogram-28.csv
WT	30	spikein	FALSE	2	2018-08-16T18:55:48Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	25	125	64.775862	57	26299	Histogram-29.csv
spt6-1004	30	spikein	FALSE	2	2018-08-16T18:55:55Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	34	118	70.554187	66	28645	Histogram-30.csv
WT	37	spikein	FALSE	2	2018-08-16T18:56:01Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	43	117	75.770936	69	30763	Histogram-31.csv
spt6-1004	37	spikein	FALSE	2	2018-08-16T18:56:06Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	36	108	69.544335	65	28235	Histogram-32.csv
WT	30	spikein	FALSE	3	2018-08-16T18:56:11Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	21	91	55.842365	52	22672	Histogram-33.csv
spt6-1004	30	spikein	FALSE	3	2018-08-16T18:56:21Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	30	86	51.950739	47	21092	Histogram-34.csv
WT	37	spikein	FALSE	3	2018-08-16T18:56:26Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	26	102	60.79064	56	24681	Histogram-35.csv
spt6-1004	37	spikein	FALSE	3	2018-08-16T18:58:48Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	38	99	63.349754	58	25720	Histogram-36.csv
WT	30	spikein	TRUE	1	2018-08-16T18:58:55Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	8	15	11.982759	12	4865	Histogram-37.csv
spt6-1004	30	spikein	TRUE	1	2018-08-16T18:59:00Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	6	16	11.921182	12	4840	Histogram-38.csv
WT	37	spikein	TRUE	1	2018-08-16T18:59:04Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	8	15	11.896552	12	4830	Histogram-39.csv
spt6-1004	37	spikein	TRUE	1	2018-08-16T18:59:07Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	3	21	13.600985	13	5522	Histogram-40.csv
WT	30	spikein	TRUE	2	2018-08-16T18:59:11Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	13	33	24.830049	25	10081	Histogram-41.csv
spt6-1004	30	spikein	TRUE	2	2018-08-16T18:59:15Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	25	41	31.815271	31	12917	Histogram-42.csv
WT	37	spikein	TRUE	2	2018-08-16T18:59:20Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	32	49	41.694581	42	16928	Histogram-43.csv
spt6-1004	37	spikein	TRUE	2	2018-08-16T18:59:23Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	31	48	40.160099	41	16305	Histogram-44.csv
WT	30	spikein	TRUE	3	2018-08-16T18:59:27Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	24	37	30.73399	31	12478	Histogram-45.csv
spt6-1004	30	spikein	TRUE	3	2018-08-16T18:59:33Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	21	31	26.078818	26	10588	Histogram-46.csv
WT	37	spikein	TRUE	3	2018-08-16T18:59:39Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	22	52	29.214286	29	11861	Histogram-47.csv
spt6-1004	37	spikein	TRUE	3	2018-08-16T18:59:46Z	Myc.tif	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	406	86	0.689825	14	29	25	34	30.229064	30	12273	Histogram-48.csv
